Time,Horizon,Vectical
0.01,-49.959998,7.139999
0.01,48,7.02
0.01,23.64,10.240001
0.01,-0.77,11.02
0.01,-25.579997,10.089999
0.01,-49.75,7.109999
0.01,48.23,7.05
0.01,23.849998,10.260001
0.01,-0.56,11.02
0.01,-25.380002,10.07
0.01,-49.540002,7.08
0.01,48.419997,7.06
0.01,24.050001,10.279999
0.01,-0.36,11
0.01,-25.169999,10.06
0.01,-49.329994,7.05
0.01,48.650001,7.1
0.01,24.28,10.300001
0.01,-0.13,11.000001
0.01,-24.940002,10.04
0.01,-49.099994,7.02
0.01,48.839998,7.129999
0.01,24.47,10.319998
0.01,0.04,10.989999
0.01,-24.75,10.019999
0.01,-48.919998,6.99
0.01,49.029995,7.16
0.01,24.659999,10.339999
0.01,0.25,10.969999
0.01,-24.56,9.99
0.01,-48.709995,6.95
0.01,49.239998,7.189999
0.01,24.87,10.359999
0.01,0.45,11
0.01,-24.35,9.99
0.01,-48.499997,6.94
0.01,49.450001,7.21
0.01,25.080001,10.379999
0.01,0.68,11.02
0.01,-24.139999,9.95
0.01,-48.289998,6.889999
0.01,49.66,7.240001
0.01,25.290001,10.420001
0.01,0.87,11.02
0.01,-23.939999,9.96
0.01,-48.08,6.88
0.01,49.879998,7.269999
0.01,25.499999,10.440001
0.01,1.07,11.019998
0.01,-23.730001,9.940001
0.01,-47.869997,6.84
0.01,50.07,7.300001
0.01,25.699997,10.460001
0.01,1.28,11.000001
0.01,-23.52,9.919999
0.01,-47.659999,6.81
0.01,50.299995,7.339999
0.01,25.91,10.479999
0.01,1.49,10.980001
0.01,-23.309999,9.91
0.01,-47.429999,6.78
0.01,50.489997,7.369999
0.01,26.120001,10.51
0.01,1.69,10.980001
0.01,-23.100001,9.89
0.01,-47.220001,6.76
0.01,50.7,7.4
0.01,26.329999,10.529999
0.01,1.9,10.98
0.01,-22.899998,9.870001
0.01,-46.999997,6.72
0.01,50.909998,7.43
0.01,26.519999,10.57
0.01,2.11,10.980001
0.01,-22.689998,9.859999
0.01,-46.81,6.71
0.01,51.129997,7.47
0.01,26.749998,10.589999
0.01,2.32,10.980001
0.01,-22.479999,9.839999
0.01,-46.580001,6.67
0.01,51.34,7.499999
0.01,26.959999,10.610001
0.01,2.52,10.96
0.01,-22.269999,9.83
0.01,-46.370002,6.64
0.01,51.549994,7.53
0.01,27.150001,10.63
0.01,2.73,10.969999
0.01,-22.059998,9.809999
0.01,-46.159995,6.61
0.01,51.760002,7.549999
0.01,27.349998,10.649998
0.01,2.94,10.969999
0.01,-21.849997,9.800001
0.01,-45.949996,6.58
0.01,51.949999,7.580001
0.01,27.560004,10.669999
0.01,3.14,10.969999
0.01,-21.65,9.78
0.01,-45.739998,6.56
0.01,52.160002,7.619999
0.01,27.770002,10.71
0.01,3.35,10.969999
0.01,-21.439999,9.77
0.01,-45.53,6.539999
0.01,52.37,7.650001
0.01,27.98,10.72
0.01,3.56,10.969999
0.01,-21.229998,9.75
0.01,-45.319997,6.509999
0.01,52.6,7.69
0.01,28.190001,10.740001
